namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,32462860070
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,1460629532000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,1181038370658
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,957274358258
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,828570754614
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,970120569560
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,457469613501.47
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,351757196118
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,101399460098.15
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,153057263460
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,134201663918
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,2229100000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,816000000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,33695938180
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,627000000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,468844595476
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,275715347803
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,70571600000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,3773454000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,548640422344
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,288315930818.87
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Anggaran,15000000000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Realisasi,0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Anggaran,83193051192
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Realisasi,65788631867
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,8614911017911
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,6967306511685
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,228333727283
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,182054126748.5
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,51909734739
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,51909734739
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,316793757106
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,151722152051.7
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,3189827239115
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,2898105745489
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,6430560000
Provinsi Banten,Provinsi Banten,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,5358800000
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,2505105705656
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,1961462983937
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,3967309807472.6
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,2646054226287.1
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,1186953963349.4
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,663027094251
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,513. Belanja Bunga,Anggaran,1029672328
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,513. Belanja Bunga,Realisasi,1029672328
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,981829299009
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,714293842166
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,43301459000
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,24901450000
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,60696892030
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,75000000
