namapemda,provinsi,tahun,level2,jenis,nilai
Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,2024,Dana Alokasi Khusus Fisik,Anggaran,267896143000
Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,2024,Dana Alokasi Khusus Fisik,Realisasi,191085163899
Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,2024,Dana Alokasi Khusus Nonfisik,Anggaran,363240869000
Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,2024,Dana Alokasi Khusus Nonfisik,Realisasi,327384594676
Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,2024,Dana Alokasi Umum,Anggaran,1563276144000
Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,2024,Dana Alokasi Umum,Realisasi,1520088584000
Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,2024,Dana Bagi Hasil,Anggaran,1950540032000
Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,2024,Dana Bagi Hasil,Realisasi,1950539989000
Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,2024,Dana Insentif Daerah,Anggaran,11042153000
Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,2024,Dana Insentif Daerah,Realisasi,5521076500
Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,2024,Dana Alokasi Khusus Fisik,Anggaran,215371296000
Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,2024,Dana Alokasi Khusus Fisik,Realisasi,152269914961
Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,2024,Dana Alokasi Khusus Nonfisik,Anggaran,526743361000
Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,2024,Dana Alokasi Khusus Nonfisik,Realisasi,478707785454
Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,2024,Dana Alokasi Umum,Anggaran,1042719353000
Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,2024,Dana Alokasi Umum,Realisasi,927318126878
Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,2024,Dana Bagi Hasil,Anggaran,6161708447000
Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,2024,Dana Bagi Hasil,Realisasi,5581892227945
Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,2024,Dana Insentif Daerah,Anggaran,26831941000
Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,2024,Dana Insentif Daerah,Realisasi,2665740500
Provinsi Kalimantan Utara,Provinsi Kalimantan Utara,2024,Dana Alokasi Khusus Fisik,Anggaran,132379441000
Provinsi Kalimantan Utara,Provinsi Kalimantan Utara,2024,Dana Alokasi Khusus Fisik,Realisasi,92654447006
Provinsi Kalimantan Utara,Provinsi Kalimantan Utara,2024,Dana Alokasi Khusus Nonfisik,Anggaran,116101440000
Provinsi Kalimantan Utara,Provinsi Kalimantan Utara,2024,Dana Alokasi Khusus Nonfisik,Realisasi,105848744463
