namapemda,provinsi,tahun,name,jenis,nilai
Provinsi Banten,Provinsi Banten,2024,51. Belanja Pegawai,Anggaran,2505105705656.0
Provinsi Banten,Provinsi Banten,2024,51. Belanja Pegawai,Realisasi,1961462983937.0
Provinsi Banten,Provinsi Banten,2024,51. Belanja Pegawai,Anggaran,2505105705656.0
Provinsi Banten,Provinsi Banten,2024,51. Belanja Pegawai,Realisasi,1961462983937.0
Provinsi Banten,Provinsi Banten,2024,51. Belanja Pegawai,Anggaran,2505105705656.0
Provinsi Banten,Provinsi Banten,2024,51. Belanja Pegawai,Realisasi,1961462983937.0
Provinsi Banten,Provinsi Banten,2024,52. Belanja Barang dan Jasa,Anggaran,3967309807472.6
Provinsi Banten,Provinsi Banten,2024,52. Belanja Barang dan Jasa,Realisasi,2646054226287.1
Provinsi Banten,Provinsi Banten,2024,52. Belanja Barang dan Jasa,Anggaran,3967309807472.6
Provinsi Banten,Provinsi Banten,2024,52. Belanja Barang dan Jasa,Realisasi,2646054226287.1
Provinsi Banten,Provinsi Banten,2024,52. Belanja Barang dan Jasa,Anggaran,3967309807472.6
Provinsi Banten,Provinsi Banten,2024,52. Belanja Barang dan Jasa,Realisasi,2646054226287.1
Provinsi Banten,Provinsi Banten,2024,53. Belanja Modal,Anggaran,1186953963349.4
Provinsi Banten,Provinsi Banten,2024,53. Belanja Modal,Realisasi,663027094251.0
Provinsi Banten,Provinsi Banten,2024,53. Belanja Modal,Anggaran,1186953963349.4
Provinsi Banten,Provinsi Banten,2024,53. Belanja Modal,Realisasi,663027094251.0
Provinsi Banten,Provinsi Banten,2024,53. Belanja Modal,Anggaran,1186953963349.4
Provinsi Banten,Provinsi Banten,2024,53. Belanja Modal,Realisasi,663027094251.0
Provinsi Banten,Provinsi Banten,2024,54. Belanja Lainnya,Anggaran,4697213886805.0
Provinsi Banten,Provinsi Banten,2024,54. Belanja Lainnya,Realisasi,4045164833437.0
Provinsi Banten,Provinsi Banten,2024,54. Belanja Lainnya,Anggaran,4697213886805.0
Provinsi Banten,Provinsi Banten,2024,54. Belanja Lainnya,Realisasi,4045164833437.0
Provinsi Banten,Provinsi Banten,2024,54. Belanja Lainnya,Anggaran,4697213886805.0
Provinsi Banten,Provinsi Banten,2024,54. Belanja Lainnya,Realisasi,4045164833437.0
Provinsi Banten,Provinsi Banten,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,86875060165.0
Provinsi Banten,Provinsi Banten,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,86875060164.95
Provinsi Banten,Provinsi Banten,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,86875060165.0
Provinsi Banten,Provinsi Banten,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,86875060164.95
Provinsi Banten,Provinsi Banten,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,86875060165.0
Provinsi Banten,Provinsi Banten,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,86875060164.95
Provinsi Banten,Provinsi Banten,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,138497733036.0
Provinsi Banten,Provinsi Banten,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,126956255283.0
Provinsi Banten,Provinsi Banten,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,138497733036.0
Provinsi Banten,Provinsi Banten,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,126956255283.0
Provinsi Banten,Provinsi Banten,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,138497733036.0
Provinsi Banten,Provinsi Banten,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,126956255283.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,41. PAD,Anggaran,1051171048243.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,41. PAD,Realisasi,387301160117.92
Provinsi Bengkulu,Provinsi Bengkulu,2024,41. PAD,Anggaran,1051171048243.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,41. PAD,Realisasi,387301160117.92
Provinsi Bengkulu,Provinsi Bengkulu,2024,41. PAD,Anggaran,1051171048243.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,41. PAD,Realisasi,387301160117.92
Provinsi Bengkulu,Provinsi Bengkulu,2024,42. TKDD,Anggaran,2005758170000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,42. TKDD,Realisasi,1070075100567.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,42. TKDD,Anggaran,2005758170000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,42. TKDD,Realisasi,1070075100567.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,42. TKDD,Anggaran,2005758170000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,42. TKDD,Realisasi,1070075100567.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,43. Pendapatan Lainnya,Anggaran,1116000000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,43. Pendapatan Lainnya,Realisasi,0.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,43. Pendapatan Lainnya,Anggaran,1116000000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,43. Pendapatan Lainnya,Realisasi,0.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,43. Pendapatan Lainnya,Anggaran,1116000000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,43. Pendapatan Lainnya,Realisasi,0.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,51. Belanja Pegawai,Anggaran,1251586600319.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,51. Belanja Pegawai,Realisasi,912725670831.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,51. Belanja Pegawai,Anggaran,1251586600319.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,51. Belanja Pegawai,Realisasi,912725670831.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,51. Belanja Pegawai,Anggaran,1251586600319.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,51. Belanja Pegawai,Realisasi,912725670831.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,52. Belanja Barang dan Jasa,Anggaran,901224967302.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,52. Belanja Barang dan Jasa,Realisasi,424290614042.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,52. Belanja Barang dan Jasa,Anggaran,901224967302.0
