wilayah_kode,wilayah,tahun,value
6400,KALIMANTAN TIMUR,2018,0.287
7600,SULAWESI BARAT,2018,0.366
9400,PAPUA,2018,0.294
1200,SUMATERA UTARA,2018,0.257
1900,KEP. BANGKA BELITUNG,2018,0.272
8200,MALUKU UTARA,2018,0.345
8200,MALUKU UTARA,2018,0.328
7200,SULAWESI TENGAH,2018,0.317
6400,KALIMANTAN TIMUR,2018,0.297
8100,MALUKU,2018,0.314
6200,KALIMANTAN TENGAH,2018,0.295
7100,SULAWESI UTARA,2018,0.364
1200,SUMATERA UTARA,2018,0.272
7500,GORONTALO,2018,0.417
5200,NUSA TENGGARA BARAT,2018,0.343
6200,KALIMANTAN TENGAH,2018,0.387
3500,JAWA TIMUR,2018,0.322
5100,BALI,2018,0.31
3300,JAWA TENGAH,2018,0.357
1800,LAMPUNG,2018,0.338
5100,BALI,2018,0.317
6500,KALIMANTAN UTARA,2018,0.283
1300,SUMATERA BARAT,2018,0.321
9999,INDONESIA,2018,0.384
6500,KALIMANTAN UTARA,2018,0.304
6100,KALIMANTAN BARAT,2018,0.325
2100,KEP. RIAU,2018,0.333
6300,KALIMANTAN SELATAN,2018,0.344
7500,GORONTALO,2018,0.403
6200,KALIMANTAN TENGAH,2018,0.342
1700,BENGKULU,2018,0.318
9400,PAPUA,2018,0.312
6300,KALIMANTAN SELATAN,2018,0.279
8200,MALUKU UTARA,2018,0.277
9400,PAPUA,2018,0.384
1900,KEP. BANGKA BELITUNG,2018,0.238
2100,KEP. RIAU,2018,0.339
1100,ACEH,2018,0.285
7200,SULAWESI TENGAH,2018,0.307
8100,MALUKU,2018,0.343
7100,SULAWESI UTARA,2018,0.368
7300,SULAWESI SELATAN,2018,0.397
3500,JAWA TIMUR,2018,0.371
7200,SULAWESI TENGAH,2018,0.37
3300,JAWA TENGAH,2018,0.378
3400,DI YOGYAKARTA,2018,0.442
5300,NUSA TENGGARA TIMUR,2018,0.359
5200,NUSA TENGGARA BARAT,2018,0.422
3300,JAWA TENGAH,2018,0.336
9999,INDONESIA,2018,0.389
7600,SULAWESI BARAT,2018,0.37
6100,KALIMANTAN BARAT,2018,0.277
8100,MALUKU,2018,0.294
8100,MALUKU,2018,0.288
5100,BALI,2018,0.363
