,namapemda,tahun,kode_wilayah,nilai
109,Provinsi Sulawesi Tenggara,2021,7400,6384498935613
110,Provinsi Sulawesi Utara,2021,7100,5310300761756
111,Provinsi Sumatera Barat,2021,1300,8229574627025
112,Provinsi Sumatera Selatan,2021,1600,11563949630761
113,Provinsi Sumatera Utara,2021,1200,15208647701421
114,Provinsi Aceh,2022,1100,21886065995801
115,Provinsi Bali,2022,5100,4142317043938
116,Provinsi Bangka Belitung,2022,1900,3741125864620
117,Provinsi Banten,2022,3600,6065340253064
118,Provinsi Bengkulu,2022,1700,3805803181649
119,Provinsi DI Yogyakarta,2022,3400,6710412008486
120,Provinsi DKI Jakarta,2022,3100,39970608294762
121,Provinsi Gorontalo,2022,7500,2712519747669
122,Provinsi Jambi,2022,1500,5234940324427
123,Provinsi Jawa Barat,2022,3200,20452726327432
124,Provinsi Jawa Tengah,2022,9700,15961194999079
125,Provinsi Jawa Tengah,2022,9600,15961194999079
126,Provinsi Jawa Tengah,2022,3300,15961194999079
127,Provinsi Jawa Timur,2022,3500,23205204165827
128,Provinsi Kalimantan Barat,2022,6100,5790153114345
129,Provinsi Kalimantan Selatan,2022,6300,9958754128413
130,Provinsi Kalimantan Selatan,2022,9500,9958754128413
131,Provinsi Kalimantan Tengah,2022,6200,6966909847608
132,Provinsi Kalimantan Timur,2022,6400,18262343658254
133,Provinsi Kalimantan Utara,2022,6500,4091543445556
134,Provinsi Kepulauan Riau,2022,2100,4518662774365
135,Provinsi Lampung,2022,1800,6289776911850
136,Provinsi Maluku,2022,8100,4669841183442
137,Provinsi Maluku Utara,2022,8200,4701971131416
138,Provinsi Nusa Tenggara Barat,2022,5200,6153448026197
139,Provinsi Nusa Tenggara Timur,2022,5300,6213516161827
140,Provinsi Papua,2022,9400,18252390286767
141,Provinsi Papua Barat,2022,9200,15115449322096
142,Provinsi Papua Barat,2022,9100,15115449322096
143,Provinsi Riau,2022,1400,9137918993458
144,Provinsi Sulawesi Barat,2022,7600,2908066067625
145,Provinsi Sulawesi Selatan,2022,7300,8411220389645
146,Provinsi Sulawesi Tengah,2022,7200,5843876467159
147,Provinsi Sulawesi Tenggara,2022,7400,6052859669386
148,Provinsi Sulawesi Utara,2022,7100,4771598469908
149,Provinsi Sumatera Barat,2022,1300,6462572178275
150,Provinsi Sumatera Selatan,2022,1600,11086141733633
151,Provinsi Sumatera Utara,2022,1200,10734561823645
152,Provinsi Aceh,2023,1100,15122928669435
153,Provinsi Bali,2023,5100,4339313229900
154,Provinsi Bangka Belitung,2023,1900,3305845681764
155,Provinsi Banten,2023,3600,6593670604960
156,Provinsi Bengkulu,2023,1700,3972910970557
157,Provinsi DI Yogyakarta,2023,3400,7030904699009
158,Provinsi DKI Jakarta,2023,3100,49770694523790
159,Provinsi Gorontalo,2023,7500,2729411966083
160,Provinsi Jambi,2023,1500,5222746488207
161,Provinsi Jawa Barat,2023,3200,21553956799187
162,Provinsi Jawa Tengah,2023,9700,16768706510780
163,Provinsi Jawa Tengah,2023,9600,16768706510780
164,Provinsi Jawa Tengah,2023,3300,16768706510780
165,Provinsi Jawa Timur,2023,3500,22853641918473
166,Provinsi Kalimantan Barat,2023,6100,6233559911760
167,Provinsi Kalimantan Selatan,2023,6300,11296434005997
168,Provinsi Kalimantan Selatan,2023,9500,11296434005997
169,Provinsi Kalimantan Tengah,2023,6200,10034923929120
170,Provinsi Kalimantan Timur,2023,6400,20825412330023
171,Provinsi Kalimantan Utara,2023,6500,4845186502396
