namapemda,provinsi,tahun,level2,level3,jenis,nilai
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,DBH PPh Pasal 21,Anggaran,149950273000
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,DBH PPh Pasal 21,Realisasi,149950273000
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,DBH PPh Pasal 25/29 OP,Anggaran,11461659000
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,DBH PPh Pasal 25/29 OP,Realisasi,11461659000
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,DBH SDA Minerba - Iuran Tetap,Anggaran,1854000
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,DBH SDA Minerba - Iuran Tetap,Realisasi,1205100
Provinsi Bali,Provinsi Bali,2024,Dana Insentif Daerah,Dana Insentif Daerah,Anggaran,23157354000
Provinsi Bali,Provinsi Bali,2024,Dana Insentif Daerah,Dana Insentif Daerah,Realisasi,23157354000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Fisik,Dana Alokasi Khusus Penugasan,Anggaran,101146298000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Fisik,Dana Alokasi Khusus Penugasan,Realisasi,72409435310
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Kesehatan,Anggaran,1864068000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Kesehatan,Realisasi,1864068000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Sekolah,Anggaran,95888450000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Sekolah,Realisasi,95125204320
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Fasilitasi Penanaman Modal,Anggaran,1200508000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Fasilitasi Penanaman Modal,Realisasi,1200508000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Pelayanan Perlindungan Perempuan dan Anak,Anggaran,406000000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Pelayanan Perlindungan Perempuan dan Anak,Realisasi,203000000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Peningkatan Kapasitas Koperasi dan Usaha Mikro Kecil ,Anggaran,3245892000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Peningkatan Kapasitas Koperasi dan Usaha Mikro Kecil ,Realisasi,3245892000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Tambahan Penghasilan Guru ASN Daerah ,Anggaran,1776441000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Tambahan Penghasilan Guru ASN Daerah ,Realisasi,1421152800
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Tunjangan Profesi Guru ASN Daerah,Anggaran,80070760000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Nonfisik,Dana Tunjangan Profesi Guru ASN Daerah,Realisasi,64056608000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Umum,Dana Alokasi Umum,Anggaran,885754534000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Umum,Dana Alokasi Umum,Realisasi,885754534000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Kesehatan,Anggaran,9135649000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Kesehatan,Realisasi,9135649000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Pekerjaan Umum,Anggaran,18401573000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Pekerjaan Umum,Realisasi,18401573000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Pendidikan,Anggaran,81667402000
